park,hike,geography,length,difficulty,features
"
            Harriman-Bear Mountain State Parks          ",Green Pond/Boston Mine Shorter Loop from Route 106,"41.234516, -74.148972","
            2.8 miles          ","
            Easy          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Iron Mines Loop #1 (East) in Harriman-Bear Mountain State Parks,"41.241997, -74.102354","
            5.5 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Ramapo Torne/Raccoon Brook Hills Trail Loop from Reeves Meadow,"41.173916, -74.168658","
            6.5 miles          ","
            Moderate          ","
            Public Transportation, Views, Waterfall          "
"
            Harriman-Bear Mountain State Parks          ",Seven Hills/HTS/Reeves Brook Trail Loop to Ramapo Torne and Torne View,"41.173916, -74.168658","
            5.2 miles          ","
            Moderate          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Ramapo Escarpment and Pine Meadow Lake from Town of Ramapo Equestrian Center,"41.174788, -74.08526","
            6.2 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",1777E/Doodletown Bridle Path Loop from Route 9W,"41.300786, -73.985924","
            5.0 miles          ","
            Easy to Moderate          ","
            Historic feature          "
"
            Harriman-Bear Mountain State Parks          ",Dunderberg Spiral Railway/Bald Mountain Loop,"41.281137, -73.962838","
            7.0 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Seven Hills/HTS/Raccoon Brook Hills Loop from Reeves Meadow,"41.173916, -74.168658","
            8.0 miles          ","
            Strenuous          ","
            Public Transportation, Views, Waterfall          "
"
            Harriman-Bear Mountain State Parks          ","ORAK Ruins, Jackie Jones Fire Tower and Big Hill Shelter","41.229741, -74.060438","
            4.5 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Harriman-Bear Mountain State Parks          ",Reeves Brook/Raccoon Brook Hills/Pine Meadow Loop,"41.173916, -74.168658","
            5.4 miles          ","
            Moderate to Strenuous          ","
            Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Green Pond/Boston Mine Longer Loop from Elk Pen,"41.264792, -74.15426","
            4.3 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Public Transportation, Views          "
"
            Harriman-Bear Mountain State Parks          ",Reeves Brook/Raccoon Brook Hills/Pine Meadow Trails Loop from Reeves Meadow,"41.173916, -74.168658","
            5.0 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Bear Mountain Loop via Major Welch Trail and Appalachian Trail,"41.312661, -73.988972","
            4.0 miles          ","
            Strenuous          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Black Mountain Loop from Anthony Wayne Recreation Area,"41.288905, -74.02333","
            7.5 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Westchester County          ",Granite Knolls Easy Loop,"41.32459, -73.82486","
            2.5 miles          ","
            Easy          ","
            Bikes allowed, Historic feature, Woods          "
"
            Westchester County          ",Crom Pond Trail in FDR State Park,"41.280627, -73.804547","
            1.8 miles          ","
            Easy          ","
            Bikes allowed, Fees, Woods          "
"
            Fahnestock State Park          ",Catfish Loop Trail,"41.420722, -73.868799","
            4.9 miles          ","
            Easy to Moderate          ","
            Views          "
"
            Fahnestock State Park          ",Appalachian Trail/Blue Trail (Clear Lake) Loop from Route 301,"41.454882, -73.833827","
            6.3 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Fahnestock State Park          ",Round Hill Loop,"41.442839, -73.915168","
            4.6 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Fahnestock State Park          ",Three Lakes Trail/Appalachian Trail Loop from Dennytown Road,"41.420722, -73.868799","
            5.0 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views, Waterfall          "
"
            Fahnestock State Park          ",Round Hill/East Mountain Loop,"41.442839, -73.915168","
            7.5 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Fahnestock State Park          ",Appalachian Trail/Three Lakes Trail Loop from Route 301,"41.454882, -73.833827","
            5.7 miles          ","
            Moderate          ","
            Historic feature          "
"
            Westchester County          ",Cranberry Lake Preserve Loop,"41.081923, -73.755898","
            3.0 miles          ","
            Easy          ","
            Historic feature          "
"
            Fahnestock State Park          ",Charcoal Burners/Cabot/Perkins/Fahnestock Trail Loop,"41.444779, -73.858345","
            7.2 miles          ","
            Moderate          ","
            Views          "
"
            Harriman-Bear Mountain State Parks          ",Dater Mountain Nature Park,"41.172414, -74.175755","
            2.5 miles          ","
            Easy to Moderate          ","
            Views, Woods          "
"
            Long Island          ",Long Island Greenbelt Trail,"40.740473, -73.170233","
            15.4 miles          ","
            Moderate          ","
            Historic feature, Public Transportation, Waterfall          "
"
            Catskills          ",Kaaterskill Falls,"42.191201, -74.070565","
            1.0 miles          ","
            Easy to Moderate          ","
            Waterfall          "
"
            Catskills          ",Windham High Peak via Burnt Knob,"42.288765, -74.114545","
            7.3 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Windham High Peak,"42.296441, -74.169152","
            6.4 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Slide Mountain (Highest Peak in Catskills)  Loop,"42.008815, -74.427539","
            6.8 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Touchmenot Mountain (Catskills),"42.065201, -74.751813","
            5.0 miles          ","
            Moderate to Strenuous          ","
            Views, Woods          "
"
            Catskills          ",Balsam Mountain Catskill High Peak,"42.097044, -74.51005","
            5.2 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Devils Path East Section  ,"42.159555, -74.203185","
            13.1 miles          ","
            Very Strenuous          ","
            Views          "
"
            Catskills          ",Catskill Escarpment Loop (North) from Scutt Road (North/South Lake),"42.200662, -74.058473","
            7.2 miles          ","
            Moderate          ","
            Historic feature, Views          "
"
            Catskills          ",Catskill Escarpment Loop (South) from Scutt Road (North/South Lake),"42.200662, -74.058473","
            4.7 miles          ","
            Moderate          ","
            Historic feature, Swimming, Views          "
"
            Catskills          ",Kanape Brook and Ashokan High Point,"41.93571, -74.328383","
            9.2 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Catskills          ",Giant Ledge and Panther,"42.026534, -74.403963","
            6.6 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Plateau Mountain Via Warner Creek Trail,"42.140337, -74.212239","
            8.0 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Mud Pond/Trout Pond Loop,"41.994457, -74.940834","
            4.8 miles          ","
            Moderate          ","
            Swimming          "
"
            Catskills          ",Hunter Mountain via Becker Hollow Trail,"42.181765, -74.196904","
            5.0 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Catskills          ",North-South Lake/Escarpment Trail Loop Hike,"42.200662, -74.058473","
            10.3 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views          "
"
            Catskills          ",Indian Head Mountain Loop,"42.133827, -74.081967","
            7.8 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Blackhead Mountain Loop,"42.288765, -74.114545","
            5.0 miles          ","
            Strenuous          ","
            Views          "
"
            Catskills          ",Shavertown Trail on Perch Lake Mountain in Catskills,"42.089945, -74.818863","
            5.3 miles          ","
            Moderate          ","
            Views          "
"
            Catskills          ",Platte Clove to Overlook Mountain via Codfish Point and Echo Lake,"42.133827, -74.081967","
            13.0 miles          ","
            Moderate to Strenuous          ","
            Historic feature, Views, Waterfall          "
"
            Catskills          ",Hunter Mountain via Spruceton Trail,"42.18478, -74.27178","
            8.0 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Catskills          ",Acra Point and Batavia Kill Loop,"42.288765, -74.114545","
            5.2 miles          ","
            Moderate to Strenuous          ","
            Views          "
"
            Catskills          ",Long Path over Romer Mountain,"42.03716, -74.35767","
            12.0 miles          ","
            Strenuous          ","
            Fees, Views          "
"
            Catskills          ",Sugarloaf Mountain,"42.151115, -74.13108","
            7.0 miles          ","
            Strenuous          ","
            Historic feature, Views          "
"
            Catskills          ",West Kill Mountain,"42.182768, -74.269743","
            6.8 miles          ","
            Strenuous          ","
            Views, Waterfall          "
"
            Long Distance Trails          ",Cat Rocks and Nuclear Lake on Appalachian Trail in Dutchess County NY,"41.593878, -73.586989","
            12.7 miles          ","
            Strenuous          ","
            Views          "
"
            Long Distance Trails          ",Appalachian Trail on Bellvale Mountain,"41.244159, -74.286675","
            7.1 miles          ","
            Strenuous          ","
            Public Transportation, Views          "
